"county_id","geocode","nm_munic"
1,3509106,Caiuá (SP)
2,3511003,Castilho (SP)
3,3514403,Dracena (SP)
4,3515301,Estrela do Norte (SP)
5,3515350,Euclides da Cunha Paulista (SP)
6,3528700,Marabá Paulista (SP)
7,3530201,Mirante do Paranapanema (SP)
8,3531605,Monte Castelo (SP)
9,3532207,Narandiba (SP)
10,3533106,Nova Guataporanga (SP)
11,3534807,Ouro Verde (SP)
12,3535408,Panorama (SP)
13,3536406,Paulicéia (SP)
14,3538303,Piquerobi (SP)
15,3541208,Presidente Bernardes (SP)
16,3541307,Presidente Epitácio (SP)
17,3541505,Presidente Venceslau (SP)
18,3543238,Ribeirão dos Índios (SP)
19,3544251,Rosana (SP)
20,3545506,Sandovalina (SP)
21,3547106,Santa Mercedes (SP)
22,3547700,Santo Anastácio (SP)
23,3549300,São João do Pau d'Alho (SP)
24,3553906,Tarabai (SP)
25,3554300,Teodoro Sampaio (SP)
26,3555109,Tupi Paulista (SP)
27,4200101,Abelardo Luz (SC)
28,4200507,Águas de Chapecó (SC)
29,4200556,Águas Frias (SC)
30,4200754,Alto Bela Vista (SC)
31,4200804,Anchieta (SC)
32,4201273,Arabutã (SC)
33,4201653,Arvoredo (SC)
34,4202081,Bandeirante (SC)
35,4202099,Barra Bonita (SC)
36,4202156,Belmonte (SC)
37,4202537,Bom Jesus (SC)
38,4202578,Bom Jesus do Oeste (SC)
39,4203105,Caibi (SC)
40,4203501,Campo Erê (SC)
41,4203907,Capinzal (SC)
42,4204004,Catanduvas (SC)
43,4204103,Caxambu do Sul (SC)
44,4204202,Chapecó (SC)
45,4204301,Concórdia (SC)
46,4204350,Cordilheira Alta (SC)
47,4204400,Coronel Freitas (SC)
48,4204459,Coronel Martins (SC)
49,4204707,Cunha Porã (SC)
50,4204756,Cunhataí (SC)
51,4204905,Descanso (SC)
52,4205001,Dionísio Cerqueira (SC)
53,4205175,Entre Rios (SC)
54,4205308,Faxinal dos Guedes (SC)
55,4205357,Flor do Sertão (SC)
56,4205431,Formosa do Sul (SC)
57,4205605,Galvão (SC)
58,4206405,Guaraciaba (SC)
59,4206603,Guarujá do Sul (SC)
60,4206652,Guatambú (SC)
61,4207601,Ipira (SC)
62,4207650,Iporã do Oeste (SC)
63,4207684,Ipuaçu (SC)
64,4207700,Ipumirim (SC)
65,4207759,Iraceminha (SC)
66,4207809,Irani (SC)
67,4207858,Irati (SC)
68,4208005,Itá (SC)
69,4208401,Itapiranga (SC)
70,4208609,Jaborá (SC)
71,4208955,Jardinópolis (SC)
72,4209003,Joaçaba (SC)
73,4209177,Jupiá (SC)
74,4209201,Lacerdópolis (SC)
75,4209458,Lajeado Grande (SC)
76,4209854,Lindóia do Sul (SC)
77,4210035,Luzerna (SC)
78,4210506,Maravilha (SC)
79,4210555,Marema (SC)
80,4210902,Modelo (SC)
81,4211009,Mondaí (SC)
82,4211405,Nova Erechim (SC)
83,4211454,Nova Itaberaba (SC)
84,4211652,Novo Horizonte (SC)
85,4211801,Ouro (SC)
86,4211850,Ouro Verde (SC)
87,4211876,Paial (SC)
88,4212007,Palma Sola (SC)
89,4212106,Palmitos (SC)
90,4212239,Paraíso (SC)
91,4212270,Passos Maia (SC)
92,4212601,Peritiba (SC)
93,4212908,Pinhalzinho (SC)
94,4213104,Piratuba (SC)
95,4213153,Planalto Alegre (SC)
96,4213401,Ponte Serrada (SC)
97,4213906,Presidente Castello Branco (SC)
98,4214151,Princesa (SC)
99,4214201,Quilombo (SC)
100,4215075,Riqueza (SC)
101,4215208,Romelândia (SC)
102,4215356,Saltinho (SC)
103,4215554,Santa Helena (SC)
104,4215687,Santa Terezinha do Progresso (SC)
105,4215695,Santiago do Sul (SC)
106,4215752,São Bernardino (SC)
107,4216008,São Carlos (SC)
108,4216107,São Domingos (SC)
109,4216255,São João do Oeste (SC)
110,4216701,São José do Cedro (SC)
111,4216909,São Lourenço do Oeste (SC)
112,4217154,São Miguel da Boa Vista (SC)
113,4217204,São Miguel do Oeste (SC)
114,4217303,Saudades (SC)
115,4217501,Seara (SC)
116,4217550,Serra Alta (SC)
117,4217758,Sul Brasil (SC)
118,4217956,Tigrinhos (SC)
119,4218756,Tunápolis (SC)
120,4218855,União do Oeste (SC)
121,4219101,Vargeão (SC)
122,4219176,Vargem Bonita (SC)
123,4219507,Xanxerê (SC)
124,4219606,Xavantina (SC)
125,4219705,Xaxim (SC)
126,4219853,Zortéa (SC)
128,4300034,Aceguá (RS)
129,4300059,Água Santa (RS)
130,4300109,Agudo (RS)
131,4300208,Ajuricaba (RS)
132,4300307,Alecrim (RS)
133,4300406,Alegrete (RS)
134,4300455,Alegria (RS)
135,4300471,Almirante Tamandaré do Sul (RS)
136,4300505,Alpestre (RS)
137,4300554,Alto Alegre (RS)
138,4300638,Amaral Ferrador (RS)
139,4300646,Ametista do Sul (RS)
140,4300703,Anta Gorda (RS)
141,4300851,Arambaré (RS)
142,4300901,Aratiba (RS)
143,4301008,Arroio do Meio (RS)
144,4301073,Arroio do Padre (RS)
145,4301107,Arroio dos Ratos (RS)
146,4301206,Arroio do Tigre (RS)
147,4301305,Arroio Grande (RS)
148,4301404,Arvorezinha (RS)
149,4301503,Augusto Pestana (RS)
150,4301552,Áurea (RS)
151,4301602,Bagé (RS)
152,4301701,Barão de Cotegipe (RS)
153,4301750,Barão do Triunfo (RS)
154,4301859,Barra do Guarita (RS)
155,4301875,Barra do Quaraí (RS)
156,4301925,Barra do Rio Azul (RS)
157,4301958,Barra Funda (RS)
158,4302006,Barros Cassal (RS)
159,4302055,Benjamin Constant do Sul (RS)
160,4302154,Boa Vista das Missões (RS)
161,4302204,Boa Vista do Buricá (RS)
162,4302220,Boa Vista do Cadeado (RS)
163,4302238,Boa Vista do Incra (RS)
164,4302253,Boa Vista do Sul (RS)
165,4302378,Bom Progresso (RS)
166,4302402,Bom Retiro do Sul (RS)
167,4302451,Boqueirão do Leão (RS)
168,4302501,Bossoroca (RS)
169,4302584,Bozano (RS)
170,4302600,Braga (RS)
171,4302659,Brochier (RS)
172,4302709,Butiá (RS)
173,4302808,Caçapava do Sul (RS)
174,4302907,Cacequi (RS)
175,4303004,Cachoeira do Sul (RS)
176,4303202,Cacique Doble (RS)
177,4303301,Caibaté (RS)
178,4303400,Caiçara (RS)
179,4303509,Camaquã (RS)
180,4303558,Camargo (RS)
181,4303707,Campina das Missões (RS)
182,4303806,Campinas do Sul (RS)
183,4304002,Campo Novo (RS)
184,4304101,Campos Borges (RS)
185,4304200,Candelária (RS)
186,4304309,Cândido Godói (RS)
187,4304358,Candiota (RS)
188,4304507,Canguçu (RS)
189,4304614,Canudos do Vale (RS)
190,4304655,Capão do Cipó (RS)
191,4304663,Capão do Leão (RS)
192,4304697,Capitão (RS)
193,4304705,Carazinho (RS)
194,4304853,Carlos Gomes (RS)
195,4304903,Casca (RS)
196,4304952,Caseiros (RS)
197,4305009,Catuípe (RS)
198,4305116,Centenário (RS)
199,4305124,Cerrito (RS)
200,4305132,Cerro Branco (RS)
201,4305157,Cerro Grande (RS)
202,4305173,Cerro Grande do Sul (RS)
203,4305207,Cerro Largo (RS)
204,4305306,Chapada (RS)
205,4305355,Charqueadas (RS)
206,4305371,Charrua (RS)
207,4305405,Chiapetta (RS)
208,4305439,Chuí (RS)
209,4305447,Chuvisca (RS)
210,4305504,Ciríaco (RS)
211,4305587,Colinas (RS)
212,4305603,Colorado (RS)
213,4305702,Condor (RS)
214,4305801,Constantina (RS)
215,4305835,Coqueiro Baixo (RS)
216,4305850,Coqueiros do Sul (RS)
217,4305871,Coronel Barros (RS)
218,4305900,Coronel Bicaco (RS)
219,4305934,Coronel Pilar (RS)
220,4305959,Cotiporã (RS)
221,4305975,Coxilha (RS)
